id,title,subtitle,metadata
151,Optimal Demand Fulfillment: An Industry Approach,,{'title': 'Optimal Demand Fulfillment: An Industry\xa0Approach nan'}
152,Predicting Protein Functions using Machine Learning,How to predict protein functions using the CAFA2…,{'title': 'Predicting Protein Functions using Machine\xa0Learning How to predict protein functions using the\xa0CAFA2…'}
153,"Actually, we should be worried about AI coming for our UX jobs","Prudence and caution, not blind…","{'title': 'Actually, we should be worried about AI coming for our UX\xa0jobs Prudence and caution, not\xa0blind…'}"
154,Should inclusive design be a UX concern?,The data may surprise you.,{'title': 'Should inclusive design be a UX\xa0concern? The data may surprise\xa0you.'}
155,"<strong class=""markup--strong markup--h3-strong"">Ethical dilemmas around the study of human behavior for marketing</strong>",Turning challenges into possible paths,"{'title': '<strong class=""markup--strong markup--h3-strong"">Ethical dilemmas around the study of human behavior for marketing</strong> Turning challenges into possible\xa0paths'}"
156,The power of a catchy name,How naming your UX Research findings can make them stick,{'title': 'The power of a catchy\xa0name How naming your UX Research findings can make them\xa0stick'}
157,DesignOps: OKRs or balanced scorecards?,As a transformative discipline focused on delivering tangible…,{'title': 'DesignOps: OKRs or balanced scorecards? As a transformative discipline focused on delivering tangible…'}
158,Servants of insight: ,The top 3 key skills you need to…,{'title': 'Servants of insight:  The top 3 key skills you need\xa0to…'}
159,Vanity interviews: what can PMs and UX researchers learn from oral historians?,Avoid “vanity…,{'title': 'Vanity interviews: what can PMs and UX researchers learn from oral historians? Avoid “vanity…'}
160,Here’s how to build and host a responsive portfolio inside Figma,,{'title': 'Here’s how to build and host a responsive portfolio inside\xa0Figma nan'}
161,"Ageism, Netflix’s mistake, board game UX, conditional logic in Figma",Weekly curated resources for…,"{'title': 'Ageism, Netflix’s mistake, board game UX, conditional logic in\xa0Figma Weekly curated resources for…'}"
162,"<strong class=""markup--strong markup--h3-strong"">The rise of digital accessibility: building the business case</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">The rise of digital accessibility: building the business\xa0case</strong> nan'}"
163,The perks of pair-designing,Multiplying your design powers,{'title': 'The perks of pair-designing Multiplying your design\xa0powers'}
164,What is healthcare’s LEGO?,,{'title': 'What is healthcare’s LEGO? nan'}
165,Feeling Unfulfilled and Unhappy Happens When You Have No Real Hobbies Outside of Your Job,,{'title': 'Feeling Unfulfilled and Unhappy Happens When You Have No Real Hobbies Outside of Your\xa0Job nan'}
166,5 Writing Tips To Develop a Friendly Online Personality & [Really] Connect With The Audience,,{'title': '5 Writing Tips To Develop a Friendly Online Personality & [Really] Connect With The\xa0Audience nan'}
167,How to Make the Most of This Golden Age For Writers,The era of successful and wealthy online writers…,{'title': 'How to Make the Most of This Golden Age For\xa0Writers The era of successful and wealthy online\xa0writers…'}
168,12 Writing Mistakes You’re Making Right Now (But Don’t Have To),I found #8 is the hardest to correct,{'title': '12 Writing Mistakes You’re Making Right Now (But Don’t Have\xa0To) I found #8 is the hardest to\xa0correct'}
169,You’ve Hit “Publish.” Now What?,,{'title': 'You’ve Hit “Publish.” Now\xa0What? nan'}
170,5 Secrets No One Tells You About Writing Online,It’s not all fairy dust and rainbows,{'title': '5 Secrets No One Tells You About Writing\xa0Online It’s not all fairy dust and\xa0rainbows'}
171,I Block People Who Respond to Articles With a Question Mark,,{'title': 'I Block People Who Respond to Articles With a Question\xa0Mark nan'}
172,Are the First 10 Pages of Your Novel Really That Important?,How to start your novel,{'title': 'Are the First 10 Pages of Your Novel Really That Important? How to start your\xa0novel'}
173,"Excuse Me, You’ve Got Something Under Your Words",The words under the words,"{'title': 'Excuse Me, You’ve Got Something Under Your\xa0Words The words under the\xa0words'}"
174,SQL on Pandas — My New Favorite for 10X Speed.,Bringing the best of both worlds together,{'title': 'SQL on Pandas\u200a—\u200aMy New Favorite for 10X\xa0Speed. Bringing the best of both worlds\xa0together'}
175,Enhanced Object Detection: How To Effectively Implement YOLOv8,A practical guide to object detection…,{'title': 'Enhanced Object Detection: How To Effectively Implement YOLOv8 A practical guide to object detection…'}
176,Time Series Forecasting with Facebook’s Prophet in 10 Minutes,Part 1: Build a working model with 6…,{'title': 'Time Series Forecasting with Facebook’s Prophet in 10\xa0Minutes Part 1: Build a working model with\xa06…'}
177,Let’s Talk About Math (for Data Scientists),Our weekly selection of must-read Editors’ Picks and…,{'title': 'Let’s Talk About Math (for Data Scientists) Our weekly selection of must-read Editors’ Picks\xa0and…'}
178,Making Language Models Similar to the Human Brain,,{'title': 'Making Language Models Similar to the Human\xa0Brain nan'}
179,Decision Tree Regressor in Excel,A Step-by-Step Guide for Machine Learning Beginners,{'title': 'Decision Tree Regressor in\xa0Excel A Step-by-Step Guide for Machine Learning Beginners'}
180,Deploying Multiple Models with SageMaker Pipelines,Applying MLOps best practices to advanced serving…,{'title': 'Deploying Multiple Models with SageMaker Pipelines Applying MLOps best practices to advanced\xa0serving…'}
181,Gradient Boosting: To Early Stop or Not To Early Stop,How early stopping halves training time for…,{'title': 'Gradient Boosting: To Early Stop or Not To Early\xa0Stop How early stopping halves training time\xa0for…'}
182,"<strong class=""markup--strong markup--h3-strong"">What Stops You From Getting Your First Data Science Job?</strong>",Walkthrough of the data science interview…,"{'title': '<strong class=""markup--strong markup--h3-strong"">What Stops You From Getting Your First Data Science\xa0Job?</strong> Walkthrough of the data science interview…'}"
183,How To Parse HTML With Regex,Using the ,{'title': 'How To Parse HTML With\xa0Regex Using the'}
184,"Testing readability tests: Flesch–Kincaid, ARI, and Gunning Fog",The lousy powers behind Hemingway…,"{'title': 'Testing readability tests: Flesch–Kincaid, ARI, and Gunning\xa0Fog The lousy powers behind Hemingway…'}"
185,The algebra of VALUE for startups,A mathematical look at why the next generation of startups should…,{'title': 'The algebra of VALUE for\xa0startups A mathematical look at why the next generation of startups\xa0should…'}
186,"Now that Google Search is Dying, Here Are Better Alternatives",Not Bing or ChatGPT,"{'title': 'Now that Google Search is Dying, Here Are Better Alternatives Not Bing or\xa0ChatGPT'}"
187,"<strong class=""markup--strong markup--h3-strong"">How I Convinced Myself to Stop Worrying About ChatGPT and Embrace Our New A.I. Overlords</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">How I Convinced Myself to Stop Worrying About ChatGPT and Embrace Our New A.I. Overlords</strong> nan'}"
188,How Content Creators Can Also Start Online Course Empires,Let a real-life online course creator…,{'title': 'How Content Creators Can Also Start Online Course\xa0Empires Let a real-life online course\xa0creator…'}
189,How to Set Rates as a Freelancer and Ensure You’re Getting Paid What You’re Worth,,{'title': 'How to Set Rates as a Freelancer and Ensure You’re Getting Paid What You’re\xa0Worth nan'}
190,Unlock Your Wealth Potential With Empowered Learning,How leveled-up learning can help you build a…,{'title': 'Unlock Your Wealth Potential With Empowered Learning How leveled-up learning can help you build\xa0a…'}
191,7 Online Business Models That Give Everyday Creators Like You the License to Print Money,,{'title': '7 Online Business Models That Give Everyday Creators Like You the License to Print\xa0Money nan'}
192,"<strong class=""markup--strong markup--h3-strong"">Thriller Suspense vs Horror Suspense</strong>",Getting to grips with genre variations for keeping readers on the…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Thriller Suspense vs Horror\xa0Suspense</strong> Getting to grips with genre variations for keeping readers on\xa0the…'}"
193,"The Crucial, Overlooked Element in Your Paperback Book Design",How to Design a Book-Selling Back Cover!,"{'title': 'The Crucial, Overlooked Element in Your Paperback Book\xa0Design How to Design a Book-Selling Back\xa0Cover!'}"
194,What My Latest Trip Taught Me About Being a Writer,Travel Makes Us Better Writers.,{'title': 'What My Latest Trip Taught Me About Being a\xa0Writer Travel Makes Us Better\xa0Writers.'}
195,How I Cried in 2022: An Analysis of 365 Days of Personal Data,An investigation into my crying patterns…,{'title': 'How I Cried in 2022: An Analysis of 365 Days of Personal\xa0Data An investigation into my crying patterns…'}
196,ETL testing — How to test your data pipelines the right way?,This fundamental data challenge is still…,{'title': 'ETL testing\u200a—\u200aHow to test your data pipelines the right\xa0way? This fundamental data challenge is\xa0still…'}
197,5 Ways to Apply If-Else Conditional Statements in Pandas,Revisiting Pandas Basics and Honing Your Data…,{'title': '5 Ways to Apply If-Else Conditional Statements in\xa0Pandas Revisiting Pandas Basics and Honing Your\xa0Data…'}
198,13 Data Buzzwords You Need To Know in 2023,"<strong class=""markup--strong markup--h4-strong"">Data terms</strong>","{'title': '13 Data Buzzwords You Need To Know in\xa02023 <strong class=""markup--strong markup--h4-strong"">Data terms</strong>'}"
199,Understand Polars’ Lack of Indexes,Switch from Pandas to Polars and forget about indexes,{'title': 'Understand Polars’ Lack of\xa0Indexes Switch from Pandas to Polars and forget about\xa0indexes'}
200,Understanding Multinomial Distribution using Python,The math and intuition behind the multinomial…,{'title': 'Understanding Multinomial Distribution using\xa0Python The math and intuition behind the multinomial…'}
201,Window Functions in PostgreSQL,A must-know for any data practitioner,{'title': 'Window Functions in PostgreSQL A must-know for any data practitioner'}
202,The Kinetic Theory of Gases: Modeling the Dynamics of Ideal Gas Molecules,,{'title': 'The Kinetic Theory of Gases: Modeling the Dynamics of Ideal Gas Molecules nan'}
203,Meaningful Experimentation: 5 Impactful Data Projects To Help Build Better Products,,{'title': 'Meaningful Experimentation: 5 Impactful Data Projects To Help Build Better\xa0Products nan'}
204,Machine Learning Algorithms Part 1: Linear Regression,Predict the Price of Diamonds Using Linear…,{'title': 'Machine Learning Algorithms Part 1: Linear Regression Predict the Price of Diamonds Using\xa0Linear…'}
205,What’s next for analytics in 2023?,Will analytics teams conquer the last mile of analytics in 2023?,{'title': 'What’s next for analytics in\xa02023? Will analytics teams conquer the last mile of analytics in\xa02023?'}
